Sr.No,Bug ID,Bug Description,Location,Severity,Status,Solution
184,FB-184,Concurrent debit requests - one succeeds despite 500 error,backend/app/services/payout_service.py,High,Fixed,SELECT ... FOR UPDATE serializes concurrent debits preventing TOCTOU race condition on balance check
185,FB-185,Overdraft protection works - GOOD (not a bug),Payout Backend,Low,Verified,Not a bug - validation working correctly
186,FB-186,Wallet credit returns 500 but succeeds - confusing API,backend/app/services/payout_service.py,High,Fixed,Pessimistic locking ensures consistent transaction state - operations complete atomically or fail cleanly
187,FB-187,Zookeeper endpoint (localhost:2181) stored,backend/app/utils/security.py,High,Fixed,validate_url() blocks port 2181
188,FB-188,Splunk HEC endpoint (localhost:8088) stored,backend/app/utils/security.py,High,Fixed,Added port 8088 to internal_ports set
189,FB-189,Solr admin endpoint (localhost:8983) stored,backend/app/utils/security.py,High,Fixed,Added port 8983 to internal_ports set
190,FB-190,Java serialization gadget chain stored in evidence_urls,backend/app/utils/security.py,Medium,Fixed,Added Java gadget chain patterns to INJECTION_PATTERNS (Runtime/ProcessBuilder/ysoserial/rO0AB)
191,FB-191,Formula injection (@SUM) stored in enterprise name - Excel RCE if exported,backend/app/utils/security.py,Medium,Fixed,Created sanitize_for_csv() for export safety
192,FB-192,DigitalOcean metadata endpoint stored,backend/app/utils/security.py,High,Fixed,validate_url() blocks 169.254.169.254
193,FB-193,Oracle Cloud metadata endpoint stored,backend/app/utils/security.py,High,Fixed,validate_url() blocks 169.254.169.254
194,FB-194,Alibaba Cloud metadata endpoint (100.100.100.200) stored,backend/app/utils/security.py,High,Fixed,validate_url() blocks 100.100.100.200
195,FB-195,RBAC completely bypassed - role string vs enum mismatch in permission_checker.py. ROLE_PERMISSIONS uses UserRole enum keys but user.role is stored as string in DB causing ALL permission checks to fail silently (EVERYONE GETS ACCESS),backend/app/core/permission_checker.py,Critical,Fixed,Added _get_user_role() helper function to convert string role to UserRole enum before ROLE_PERMISSIONS lookup. Fixed has_permission() get_user_permissions() has_higher_or_equal_role() and can_manage_user() functions. SERVER RESTART REQUIRED to apply fix.
196,FB-196,Rate limiting not enforced on login endpoint - 15+ failed login attempts allowed without blocking,backend/app/middleware/rate_limit.py,High,Pending,Rate limit dependency and middleware present but not triggering 429 responses. X-RateLimit headers also missing from responses. Possible causes: middleware not being applied correctly or async execution issue. Further investigation needed.
